antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,condition,algorithm,basket_type
frozenset({'electronics_misc'}),frozenset({'diversified_other'}),0.02694610778443114,0.5793413173652695,0.005988023952095809,0.22222222222222224,0.3835773758254378,1.0,-0.009622969629603071,0.5408468776732249,-0.6228604583695969,0.00997506234413965,-0.8489521550019773,0.11627906976744187,Verão,FP-Growth,category
frozenset({'electronics_misc'}),frozenset({'moveis_decoracao'}),0.0328719723183391,0.1384083044982699,0.0017301038062283738,0.052631578947368425,0.38026315789473686,1.0,-0.0028196501478670037,0.9094579008073819,-0.6275816122584944,0.01020408163265306,-0.0995561192136969,0.032565789473684215,Primavera,FP-Growth,category
frozenset({'moveis_decoracao'}),frozenset({'diversified_other'}),0.15947843530591777,0.5616850551654965,0.0320962888665998,0.2012578616352201,0.35831087151841867,1.0,-0.05748036486591169,0.5487565057376854,-0.6805793786925862,0.04657933042212518,-0.8223018580084338,0.12920035938903862,Inverno,FP-Growth,category
frozenset({'diversified_other'}),frozenset({'moveis_decoracao'}),0.5616850551654965,0.15947843530591777,0.0320962888665998,0.05714285714285714,0.35831087151841867,1.0,-0.05748036486591169,0.8914622655846327,-0.8033745781777278,0.04657933042212518,-0.12175247187180364,0.12920035938903862,Inverno,FP-Growth,category
frozenset({'moveis_decoracao'}),frozenset({'diversified_other'}),0.1562829989440338,0.5364308342133052,0.026399155227032733,0.1689189189189189,0.3148941264098744,1.0,-0.057435864269872405,0.5577905409465921,-0.7205668401320575,0.03961965134706814,-0.7927876623776398,0.10906575867205787,Outono,FP-Growth,category
frozenset({'gifts_household'}),frozenset({'cama_mesa_banho'}),0.11434302908726178,0.2587763289869609,0.00802407221664995,0.07017543859649124,0.27118183054535566,1.0,-0.021565197095800945,0.7971650801460987,-0.752140350877193,0.021978021978021976,-0.25444531491109373,0.05059159526723787,Inverno,FP-Growth,category
frozenset({'gifts_household'}),frozenset({'cama_mesa_banho'}),0.09730538922155689,0.22904191616766467,0.005988023952095809,0.06153846153846154,0.2686777275012569,1.0,-0.016298988848650005,0.8215127122803573,-0.750955085183273,0.018691588785046728,-0.21726661687826737,0.043841126194067374,Verão,FP-Growth,category
frozenset({'gifts_household'}),frozenset({'diversified_other'}),0.09730538922155689,0.5793413173652695,0.014970059880239521,0.15384615384615383,0.26555356787914924,1.0,-0.04140297249811754,0.4971420794774088,-0.7539277698428892,0.02262443438914027,-1.0114973993977554,0.08984297356390379,Verão,FP-Growth,category
frozenset({'moveis_decoracao'}),frozenset({'diversified_other'}),0.1317365269461078,0.5793413173652695,0.019461077844311378,0.1477272727272727,0.25499177824759217,1.0,-0.05685933522177204,0.4935728542914171,-0.7709042294603793,0.028138528138528136,-1.0260433516661278,0.09065950199671129,Verão,FP-Growth,category
frozenset({'music_homecomfort'}),frozenset({'diversified_other'}),0.007021063189568706,0.5616850551654965,0.0010030090270812437,0.14285714285714285,0.2543367346938775,1.0,-0.0029406172378720922,0.511367435640254,-0.7469971888576541,0.0017667844522968198,-0.9555410264792417,0.07232142857142856,Inverno,FP-Growth,category
frozenset({'gifts_household'}),frozenset({'cama_mesa_banho'}),0.10454065469904963,0.24498416050686378,0.006335797254487857,0.06060606060606061,0.2473876698014629,1.0,-0.019275007275796743,0.803726538815274,-0.772593188522392,0.018461538461538463,-0.24420428056791693,0.04323406478578892,Outono,FP-Growth,category
